,s-4,s-3,s-2,s-1,a,r
373,5,8,3,1,4,-1.0
374,8,3,1,4,0,-1.0
375,3,1,4,0,7,0.0
376,1,4,0,7,19,0.0
377,4,0,7,19,1,-1.0
378,0,7,19,1,2,1.0
379,7,19,1,2,1,-1.0
380,19,1,2,1,11,0.0
381,1,2,1,11,7,0.0
382,2,1,11,7,0,-1.0
383,1,11,7,0,3,0.0
384,11,7,0,3,8,0.0
385,7,0,3,8,12,-1.0
386,0,3,8,12,2,1.0
387,3,8,12,2,1,-1.0
388,8,12,2,1,16,-1.0
389,12,2,1,16,1,0.0
390,2,1,16,1,4,-1.0
391,1,16,1,4,0,-1.0
392,16,1,4,0,10,1.0
393,1,4,0,10,5,-1.0
394,4,0,10,5,0,-1.0
395,0,10,5,0,3,1.0
396,10,5,0,3,4,-1.0
397,5,0,3,4,1,1.0
398,0,3,4,1,4,1.0
399,3,4,1,4,19,0.0
400,4,1,4,19,5,-1.0
401,1,4,19,5,0,0.0
402,4,19,5,0,13,0.0
403,19,5,0,13,0,-1.0
404,5,0,13,0,2,1.0
405,0,13,0,2,1,0.0
406,13,0,2,1,17,0.0
407,0,2,1,17,1,0.0
408,2,1,17,1,1,0.0
409,1,17,1,1,3,1.0
410,17,1,1,3,6,-1.0
411,1,1,3,6,7,0.0
412,1,3,6,7,2,1.0
413,3,6,7,2,4,0.0
414,6,7,2,4,13,0.0
415,7,2,4,13,4,-1.0
416,2,4,13,4,2,1.0
417,4,13,4,2,3,1.0
418,13,4,2,3,3,1.0
419,4,2,3,3,9,-1.0
420,2,3,3,9,9,-1.0
421,3,3,9,9,15,1.0
422,3,9,9,15,11,-1.0
423,9,9,15,11,5,-1.0
424,9,15,11,5,4,-1.0
425,15,11,5,4,4,-1.0
426,11,5,4,4,3,1.0
427,5,4,4,3,2,1.0
428,4,4,3,2,17,-1.0
429,4,3,2,17,11,-1.0
430,3,2,17,11,1,-1.0
431,2,17,11,1,4,1.0
432,17,11,1,4,3,1.0
433,11,1,4,3,3,1.0
434,1,4,3,3,15,1.0
435,4,3,3,15,10,-1.0
436,3,3,15,10,2,0.0
437,3,15,10,2,3,1.0
438,15,10,2,3,1,0.0
439,10,2,3,1,9,1.0
440,2,3,1,9,6,-1.0
441,3,1,9,6,1,-1.0
442,1,9,6,1,19,0.0
443,9,6,1,19,1,0.0
