,s-2,s-1,a,r,none
603,4,0,1,0,
604,0,1,5,0,
605,1,5,0,0,
606,5,0,4,1,
607,0,4,1,1,
608,4,1,0,1,
609,1,0,3,1,
610,0,3,4,0,
611,3,4,2,0,
612,4,2,3,0,
613,2,3,2,0,
614,3,2,4,0,
615,2,4,4,0,
616,4,4,0,1,
617,4,0,4,0,
618,0,4,5,0,
619,4,5,4,0,
620,5,4,4,0,
621,4,4,3,0,
622,4,3,3,0,
623,3,3,1,0,
624,3,1,4,1,
625,1,4,3,1,
626,4,3,3,0,
627,3,3,0,0,
628,3,0,4,0,
629,0,4,2,1,
630,4,2,0,0,
631,2,0,2,0,
632,0,2,2,0,
633,2,2,2,0,
634,2,2,3,1,
635,2,3,0,1,
636,3,0,4,0,
637,0,4,3,0,
638,4,3,2,0,
639,3,2,1,0,
640,2,1,0,1,
641,1,0,5,1,
642,0,5,5,0,
643,5,5,1,0,
644,5,1,0,1,
645,1,0,3,1,
646,0,3,5,0,
647,3,5,1,0,
648,5,1,5,0,
649,1,5,0,0,
650,5,0,2,0,
651,0,2,1,1,
652,2,1,3,0,
653,1,3,5,-1,
654,3,5,4,1,
655,5,4,3,0,
656,4,3,0,1,
657,3,0,3,1,
658,0,3,1,1,
659,3,1,5,1,
660,1,5,2,0,
661,5,2,4,0,
662,2,4,5,1,
663,4,5,5,0,
664,5,5,1,1,
665,5,1,3,0,
666,1,3,0,1,
667,3,0,2,0,
668,0,2,2,0,
669,2,2,1,-1,
670,2,1,0,0,
671,1,0,3,1,
672,0,3,1,0,
673,3,1,1,1,
674,1,1,4,0,
675,1,4,5,0,
676,4,5,5,0,
677,5,5,3,1,
678,5,3,3,0,
679,3,3,5,0,
680,3,5,3,1,
681,5,3,4,-1,
682,3,4,5,0,
683,4,5,0,0,
684,5,0,1,-1,
685,0,1,1,0,
686,1,1,5,1,
687,1,5,2,0,
688,5,2,1,0,
689,2,1,2,1,
690,1,2,1,0,
691,2,1,2,0,
692,1,2,1,0,
693,2,1,0,1,
694,1,0,3,0,
695,0,3,5,0,
696,3,5,2,0,
697,5,2,0,0,
698,2,0,5,1,
699,0,5,0,1,
700,5,0,2,0,
701,0,2,1,1,
702,2,1,0,0,
703,1,0,4,1,
704,0,4,1,1,
705,4,1,5,1,
706,1,5,0,1,
707,5,0,1,0,
708,0,1,1,-1,
709,1,1,4,-1,
710,1,4,2,1,
711,4,2,2,1,
712,2,2,4,-1,
713,2,4,2,1,
714,4,2,0,1,
715,2,0,4,1,
716,0,4,0,1,
717,4,0,4,-1,
718,0,4,1,1,
719,4,1,2,0,
720,1,2,2,0,
721,2,2,2,0,
722,2,2,5,0,
723,2,5,3,1,
724,5,3,4,1,
725,3,4,2,1,
726,4,2,0,1,
727,2,0,5,0,
728,0,5,0,0,
729,5,0,3,0,
730,0,3,0,1,
731,3,0,5,0,
732,0,5,0,0,
733,5,0,5,0,
734,0,5,1,1,
735,5,1,0,1,
736,1,0,2,0,
737,0,2,1,1,
738,2,1,2,1,
739,1,2,2,1,
740,2,2,3,1,
741,2,3,1,0,
742,3,1,3,0,
743,1,3,1,0,
744,3,1,0,1,
745,1,0,3,0,
746,0,3,3,0,
747,3,3,1,0,
748,3,1,2,1,
749,1,2,1,0,
750,2,1,2,0,
751,1,2,4,-1,
752,2,4,2,1,
753,4,2,4,1,
754,2,4,2,-1,
755,4,2,2,0,
756,2,2,4,-1,
757,2,4,0,0,
758,4,0,0,1,
759,0,0,3,1,
760,0,3,1,1,
761,3,1,2,1,
762,1,2,0,1,
763,2,0,1,0,
764,0,1,5,1,
765,1,5,0,0,
766,5,0,5,0,
767,0,5,1,1,
768,5,1,0,0,
769,1,0,4,1,
770,0,4,2,1,
771,4,2,4,-1,
772,2,4,5,0,
773,4,5,2,1,
774,5,2,5,1,
775,2,5,1,1,
776,5,1,3,0,
777,1,3,5,0,
778,3,5,4,-1,
779,5,4,4,0,
780,4,4,3,0,
781,4,3,1,1,
782,3,1,0,1,
783,1,0,0,1,
784,0,0,5,-1,
785,0,5,1,0,
786,5,1,3,0,
787,1,3,3,1,
788,3,3,3,0,
789,3,3,4,1,
790,3,4,3,0,
791,4,3,2,0,
792,3,2,1,0,
793,2,1,4,-1,
794,1,4,2,0,
795,4,2,2,0,
796,2,2,3,1,
797,2,3,2,0,
798,3,2,1,1,
799,2,1,0,1,
800,1,0,4,0,
801,0,4,4,0,
802,4,4,4,0,
803,4,4,5,0,
804,4,5,0,0,
805,5,0,0,1,
806,0,0,4,0,
807,0,4,1,1,
808,4,1,5,0,
809,1,5,5,0,
810,5,5,3,0,
811,5,3,2,-1,
812,3,2,3,0,
813,2,3,5,1,
814,3,5,3,0,
815,5,3,3,0,
816,3,3,4,0,
817,3,4,4,0,
818,4,4,0,1,
819,4,0,0,1,
820,0,0,3,0,
821,0,3,0,0,
822,3,0,1,1,
823,0,1,1,1,
824,1,1,5,0,
825,1,5,2,1,
826,5,2,1,0,
827,2,1,2,0,
828,1,2,0,0,
829,2,0,0,1,
830,0,0,3,0,
831,0,3,3,1,
832,3,3,2,0,
833,3,2,3,1,
834,2,3,3,0,
835,3,3,3,0,
836,3,3,3,0,
837,3,3,0,1,
838,3,0,1,0,
839,0,1,3,1,
840,1,3,3,0,
841,3,3,5,1,
842,3,5,2,0,
843,5,2,5,0,
844,2,5,1,0,
845,5,1,3,0,
846,1,3,4,-1,
847,3,4,2,1,
848,4,2,0,1,
849,2,0,3,0,
850,0,3,2,0,
851,3,2,2,0,
852,2,2,2,0,
853,2,2,4,-1,
854,2,4,5,1,
855,4,5,0,1,
856,5,0,0,1,
857,0,0,5,0,
858,0,5,4,0,
859,5,4,2,1,
860,4,2,0,0,
861,2,0,3,0,
862,0,3,0,0,
863,3,0,3,0,
864,0,3,3,0,
865,3,3,0,1,
866,3,0,5,1,
867,0,5,1,1,
868,5,1,4,0,
869,1,4,3,0,
870,4,3,0,0,
871,3,0,0,0,
872,0,0,1,1,
873,0,1,5,1,
874,1,5,2,1,
875,5,2,1,1,
876,2,1,0,1,
877,1,0,5,1,
878,0,5,1,-1,
879,5,1,0,1,
880,1,0,4,1,
881,0,4,1,1,
882,4,1,0,1,
883,1,0,3,-1,
884,0,3,5,1,
885,3,5,3,1,
886,5,3,1,1,
887,3,1,1,1,
888,1,1,2,0,
889,1,2,0,1,
890,2,0,0,1,
891,0,0,2,0,
892,0,2,1,1,
893,2,1,0,1,
894,1,0,0,0,
895,0,0,0,1,
896,0,0,3,-1,
897,0,3,5,0,
898,3,5,3,0,
899,5,3,2,0,
900,model: REINFORCE,episode: 300,T: 2,Num of Category: 6,M(Batch): 3
