,s-5,s-4,s-3,s-2,s-1,a,r
441,46,0,0,0,0,0.0,1.0
442,0,0,0,0,0,0.0,1.0
443,0,0,0,0,0,0.0,1.0
444,0,0,0,0,0,0.0,0.0
445,0,0,0,0,0,0.0,1.0
446,0,0,0,0,0,68.0,0.0
447,0,0,0,0,68,57.0,1.0
448,0,0,0,68,57,77.0,0.0
449,0,0,68,57,77,0.0,1.0
450,0,68,57,77,0,0.0,1.0
451,68,57,77,0,0,0.0,1.0
452,57,77,0,0,0,0.0,1.0
453,77,0,0,0,0,0.0,1.0
454,0,0,0,0,0,0.0,1.0
455,0,0,0,0,0,48.0,1.0
456,0,0,0,0,48,0.0,1.0
457,0,0,0,48,0,0.0,0.0
458,0,0,48,0,0,0.0,1.0
459,0,48,0,0,0,0.0,1.0
460,48,0,0,0,0,0.0,1.0
461,0,0,0,0,0,0.0,1.0
462,0,0,0,0,0,0.0,1.0
463,0,0,0,0,0,0.0,1.0
464,0,0,0,0,0,0.0,1.0
465,0,0,0,0,0,0.0,0.0
466,0,0,0,0,0,0.0,-1.0
467,0,0,0,0,0,0.0,1.0
468,0,0,0,0,0,0.0,0.0
469,0,0,0,0,0,74.0,0.0
470,0,0,0,0,74,0.0,1.0
471,0,0,0,74,0,0.0,1.0
472,0,0,74,0,0,0.0,1.0
473,0,74,0,0,0,0.0,1.0
474,74,0,0,0,0,18.0,0.0
475,0,0,0,0,18,0.0,1.0
476,0,0,0,18,0,0.0,1.0
477,0,0,18,0,0,0.0,1.0
478,0,18,0,0,0,0.0,1.0
479,18,0,0,0,0,0.0,1.0
480,0,0,0,0,0,0.0,1.0
481,0,0,0,0,0,0.0,1.0
482,0,0,0,0,0,0.0,-1.0
483,0,0,0,0,0,0.0,1.0
484,0,0,0,0,0,31.0,1.0
485,0,0,0,0,31,0.0,1.0
486,0,0,0,31,0,0.0,1.0
487,0,0,31,0,0,0.0,1.0
488,0,31,0,0,0,0.0,1.0
489,31,0,0,0,0,14.0,0.0
490,0,0,0,0,14,64.0,-1.0
491,0,0,0,14,64,0.0,1.0
492,0,0,14,64,0,32.0,0.0
493,0,14,64,0,32,64.0,1.0
494,14,64,0,32,64,0.0,1.0
495,64,0,32,64,0,0.0,1.0
496,0,32,64,0,0,0.0,1.0
497,32,64,0,0,0,0.0,1.0
498,64,0,0,0,0,0.0,1.0
499,0,0,0,0,0,0.0,1.0
500,0,0,0,0,0,0.0,1.0
501,0,0,0,0,0,35.0,0.0
502,0,0,0,0,35,37.0,1.0
503,0,0,0,35,37,0.0,0.0
504,0,0,35,37,0,0.0,1.0
505,0,35,37,0,0,0.0,1.0
506,35,37,0,0,0,0.0,1.0
507,37,0,0,0,0,0.0,1.0
508,0,0,0,0,0,0.0,1.0
509,0,0,0,0,0,0.0,1.0
510,0,0,0,0,0,63.0,0.0
511,0,0,0,0,63,0.0,1.0
512,0,0,0,63,0,0.0,1.0
513,0,0,63,0,0,3.0,0.0
514,0,63,0,0,3,0.0,1.0
515,63,0,0,3,0,0.0,1.0
516,0,0,3,0,0,0.0,1.0
517,0,3,0,0,0,0.0,1.0
518,3,0,0,0,0,0.0,1.0
519,0,0,0,0,0,0.0,1.0
520,0,0,0,0,0,67.0,1.0
521,0,0,0,0,67,78.0,0.0
522,0,0,0,67,78,0.0,1.0
523,0,0,67,78,0,0.0,1.0
524,0,67,78,0,0,0.0,1.0
525,67,78,0,0,0,35.0,0.0
526,78,0,0,0,35,63.0,0.0
527,0,0,0,35,63,55.0,0.0
528,0,0,35,63,55,55.0,0.0
529,0,35,63,55,55,0.0,0.0
530,35,63,55,55,0,0.0,1.0
531,63,55,55,0,0,0.0,1.0
532,55,55,0,0,0,0.0,1.0
533,55,0,0,0,0,0.0,1.0
534,0,0,0,0,0,47.0,1.0
535,0,0,0,0,47,17.0,0.0
536,0,0,0,47,17,0.0,1.0
537,0,0,47,17,0,0.0,1.0
538,0,47,17,0,0,28.0,1.0
539,47,17,0,0,28,0.0,1.0
540,17,0,0,28,0,0.0,1.0
541,0,0,28,0,0,0.0,1.0
542,0,28,0,0,0,0.0,1.0
543,28,0,0,0,0,0.0,1.0
544,0,0,0,0,0,0.0,1.0
545,0,0,0,0,0,0.0,1.0
546,0,0,0,0,0,0.0,0.0
547,0,0,0,0,0,0.0,1.0
548,0,0,0,0,0,27.0,0.0
549,0,0,0,0,27,0.0,1.0
550,0,0,0,27,0,0.0,1.0
551,0,0,27,0,0,0.0,1.0
552,0,27,0,0,0,44.0,1.0
553,27,0,0,0,44,0.0,1.0
554,0,0,0,44,0,52.0,0.0
555,0,0,44,0,52,13.0,1.0
556,0,44,0,52,13,0.0,0.0
557,44,0,52,13,0,0.0,1.0
558,0,52,13,0,0,0.0,1.0
559,52,13,0,0,0,0.0,1.0
560,13,0,0,0,0,0.0,1.0
561,0,0,0,0,0,0.0,1.0
562,0,0,0,0,0,0.0,1.0
563,0,0,0,0,0,0.0,1.0
564,0,0,0,0,0,0.0,0.0
565,0,0,0,0,0,0.0,-1.0
566,0,0,0,0,0,0.0,-1.0
567,0,0,0,0,0,0.0,-1.0
568,0,0,0,0,0,0.0,-1.0
569,0,0,0,0,0,0.0,1.0
570,0,0,0,0,0,1.0,0.0
571,0,0,0,0,1,32.0,0.0
572,0,0,0,1,32,8.0,0.0
573,0,0,1,32,8,0.0,0.0
574,0,1,32,8,0,0.0,0.0
575,1,32,8,0,0,0.0,1.0
576,32,8,0,0,0,0.0,1.0
577,8,0,0,0,0,0.0,1.0
578,0,0,0,0,0,0.0,1.0
579,0,0,0,0,0,0.0,1.0
580,0,0,0,0,0,0.0,1.0
581,0,0,0,0,0,0.0,1.0
582,0,0,0,0,0,0.0,1.0
583,0,0,0,0,0,0.0,-1.0
584,0,0,0,0,0,0.0,1.0
585,0,0,0,0,0,16.0,1.0
586,0,0,0,0,16,0.0,1.0
587,0,0,0,16,0,0.0,0.0
588,0,0,16,0,0,0.0,1.0
589,0,16,0,0,0,0.0,1.0
