,s-4,s-3,s-2,s-1,a,r
582,5,8,12,14,15,0.0
583,8,12,14,15,12,0.0
584,12,14,15,12,4,0.0
585,14,15,12,4,0,-1.0
586,15,12,4,0,11,-1.0
587,12,4,0,11,13,0.0
588,4,0,11,13,12,0.0
589,0,11,13,12,14,0.0
590,11,13,12,14,8,1.0
591,13,12,14,8,12,0.0
592,12,14,8,12,7,1.0
593,14,8,12,7,16,1.0
594,8,12,7,16,16,0.0
595,12,7,16,16,2,0.0
596,7,16,16,2,9,1.0
597,16,16,2,9,17,1.0
598,16,2,9,17,8,1.0
599,2,9,17,8,3,1.0
600,9,17,8,3,14,1.0
601,17,8,3,14,13,1.0
602,8,3,14,13,16,1.0
603,3,14,13,16,3,0.0
604,14,13,16,3,4,0.0
605,13,16,3,4,13,-1.0
606,16,3,4,13,18,0.0
607,3,4,13,18,7,-1.0
608,4,13,18,7,11,0.0
609,13,18,7,11,12,0.0
610,18,7,11,12,19,1.0
611,7,11,12,19,12,1.0
612,11,12,19,12,19,0.0
613,12,19,12,19,7,1.0
614,19,12,19,7,14,0.0
615,12,19,7,14,12,1.0
616,19,7,14,12,11,1.0
617,7,14,12,11,15,0.0
618,14,12,11,15,18,0.0
619,12,11,15,18,1,1.0
620,11,15,18,1,2,1.0
621,15,18,1,2,3,0.0
622,18,1,2,3,2,0.0
623,1,2,3,2,19,0.0
624,2,3,2,19,8,1.0
625,3,2,19,8,16,-1.0
626,2,19,8,16,13,1.0
627,19,8,16,13,16,0.0
628,8,16,13,16,5,1.0
629,16,13,16,5,17,0.0
630,13,16,5,17,5,0.0
631,16,5,17,5,15,1.0
632,5,17,5,15,9,0.0
633,17,5,15,9,6,1.0
634,5,15,9,6,0,0.0
635,15,9,6,0,19,-1.0
636,9,6,0,19,9,0.0
637,6,0,19,9,15,1.0
638,0,19,9,15,9,1.0
639,19,9,15,9,11,0.0
640,9,15,9,11,0,1.0
641,15,9,11,0,15,0.0
642,9,11,0,15,8,1.0
643,11,0,15,8,15,1.0
644,0,15,8,15,19,1.0
645,15,8,15,19,1,0.0
646,8,15,19,1,11,1.0
647,15,19,1,11,14,0.0
648,19,1,11,14,4,-1.0
649,1,11,14,4,10,1.0
650,11,14,4,10,9,1.0
651,14,4,10,9,15,-1.0
652,4,10,9,15,8,0.0
653,10,9,15,8,3,1.0
654,9,15,8,3,7,-1.0
655,15,8,3,7,13,1.0
656,8,3,7,13,3,0.0
657,3,7,13,3,5,1.0
658,7,13,3,5,1,0.0
659,13,3,5,1,18,0.0
660,3,5,1,18,15,-1.0
661,5,1,18,15,13,0.0
662,1,18,15,13,11,1.0
663,18,15,13,11,9,0.0
664,15,13,11,9,16,0.0
665,13,11,9,16,8,1.0
666,11,9,16,8,0,1.0
667,9,16,8,0,11,0.0
668,16,8,0,11,3,0.0
669,8,0,11,3,11,0.0
670,0,11,3,11,14,0.0
671,11,3,11,14,9,0.0
672,3,11,14,9,7,1.0
673,11,14,9,7,4,-1.0
674,14,9,7,4,4,0.0
675,9,7,4,4,1,0.0
676,7,4,4,1,17,0.0
677,4,4,1,17,7,0.0
678,4,1,17,7,9,1.0
679,1,17,7,9,10,1.0
680,17,7,9,10,19,0.0
681,7,9,10,19,2,1.0
682,9,10,19,2,6,1.0
