,s-3,s-2,s-1,a,r
648,7,8,7,8,1
649,8,7,8,4,-1
650,7,8,4,0,-1
651,8,4,0,9,1
652,4,0,9,7,-1
653,0,9,7,2,1
654,9,7,2,3,1
655,7,2,3,2,1
656,2,3,2,7,-1
657,3,2,7,2,0
658,2,7,2,6,-1
659,7,2,6,3,1
660,2,6,3,0,1
661,6,3,0,2,1
662,3,0,2,1,0
663,0,2,1,6,-1
664,2,1,6,7,0
665,1,6,7,9,-1
666,6,7,9,0,0
667,7,9,0,7,-1
668,9,0,7,2,0
669,0,7,2,0,-1
670,7,2,0,0,-1
671,2,0,0,0,0
672,0,0,0,1,0
673,0,0,1,6,-1
674,0,1,6,3,1
675,1,6,3,6,1
676,6,3,6,5,-1
677,3,6,5,9,1
678,6,5,9,4,-1
679,5,9,4,8,1
680,9,4,8,4,-1
681,4,8,4,5,-1
682,8,4,5,5,-1
683,4,5,5,7,0
684,5,5,7,8,-1
685,5,7,8,3,-1
686,7,8,3,8,1
687,8,3,8,5,-1
688,3,8,5,3,0
689,8,5,3,2,1
690,5,3,2,7,0
691,3,2,7,7,-1
692,2,7,7,3,1
693,7,7,3,4,-1
694,7,3,4,1,1
695,3,4,1,7,0
696,4,1,7,8,1
697,1,7,8,2,0
698,7,8,2,4,-1
699,8,2,4,3,1
700,2,4,3,9,-1
701,4,3,9,9,-1
702,3,9,9,6,-1
703,9,9,6,2,1
704,9,6,2,2,1
705,6,2,2,1,0
706,2,2,1,7,0
707,2,1,7,1,0
708,1,7,1,4,1
709,7,1,4,9,-1
710,1,4,9,0,-1
711,4,9,0,9,1
712,9,0,9,0,0
713,0,9,0,5,-1
714,9,0,5,3,1
715,0,5,3,4,-1
716,5,3,4,5,-1
717,3,4,5,3,-1
718,4,5,3,8,1
719,5,3,8,4,-1
720,3,8,4,2,0
721,8,4,2,6,-1
722,4,2,6,7,0
723,2,6,7,8,0
724,6,7,8,3,1
725,7,8,3,8,0
726,8,3,8,6,1
727,3,8,6,5,-1
728,8,6,5,8,0
729,6,5,8,9,1
730,5,8,9,6,-1
731,8,9,6,2,1
732,9,6,2,2,1
733,6,2,2,5,-1
734,2,2,5,3,-1
735,2,5,3,9,1
736,5,3,9,4,-1
737,3,9,4,5,-1
738,9,4,5,0,-1
739,4,5,0,7,0
740,5,0,7,5,-1
741,0,7,5,4,-1
742,7,5,4,0,-1
743,5,4,0,1,0
744,4,0,1,6,0
745,0,1,6,1,0
746,1,6,1,8,0
747,6,1,8,5,1
748,1,8,5,4,-1
749,8,5,4,9,-1
750,5,4,9,5,-1
751,4,9,5,7,-1
752,9,5,7,8,1
753,5,7,8,0,-1
754,7,8,0,6,-1
755,8,0,6,3,1
756,0,6,3,9,-1
757,6,3,9,1,0
758,3,9,1,6,-1
759,9,1,6,5,-1
760,1,6,5,0,-1
761,6,5,0,3,1
762,5,0,3,8,1
763,0,3,8,8,-1
764,3,8,8,1,-1
765,8,8,1,3,1
766,8,1,3,9,-1
767,1,3,9,1,1
768,3,9,1,1,0
769,9,1,1,4,-1
770,1,1,4,0,-1
771,1,4,0,2,1
772,4,0,2,1,0
773,0,2,1,4,-1
774,2,1,4,5,-1
775,1,4,5,3,1
776,4,5,3,0,-1
777,5,3,0,4,-1
778,3,0,4,7,0
779,0,4,7,4,-1
780,4,7,4,8,0
781,7,4,8,6,-1
782,4,8,6,3,1
783,8,6,3,2,1
784,6,3,2,2,0
785,3,2,2,2,0
786,2,2,2,6,-1
787,2,2,6,9,1
788,2,6,9,1,0
789,6,9,1,8,1
790,9,1,8,5,-1
791,1,8,5,1,0
792,8,5,1,1,1
793,5,1,1,8,-1
794,1,1,8,7,0
795,1,8,7,7,-1
796,8,7,7,8,1
797,7,7,8,2,1
798,7,8,2,0,-1
799,8,2,0,7,0
800,2,0,7,2,1
801,0,7,2,9,1
802,7,2,9,5,0
803,2,9,5,3,1
804,9,5,3,0,0
805,5,3,0,4,1
806,3,0,4,9,1
807,0,4,9,3,0
808,4,9,3,6,-1
809,9,3,6,4,-1
810,3,6,4,7,1
811,6,4,7,9,1
812,4,7,9,1,-1
813,7,9,1,6,0
814,9,1,6,0,-1
815,1,6,0,4,0
816,6,0,4,5,1
817,0,4,5,4,-1
818,4,5,4,3,0
819,5,4,3,5,-1
820,4,3,5,3,1
821,3,5,3,4,-1
822,5,3,4,7,0
823,3,4,7,1,0
824,4,7,1,2,1
825,7,1,2,9,1
826,1,2,9,5,1
827,2,9,5,1,0
828,9,5,1,1,0
829,5,1,1,6,-1
830,1,1,6,3,1
831,1,6,3,3,0
832,6,3,3,7,0
833,3,3,7,3,1
834,3,7,3,4,-1
835,7,3,4,5,-1
836,3,4,5,0,-1
837,4,5,0,7,0
838,5,0,7,0,-1
839,0,7,0,7,0
840,7,0,7,9,1
841,0,7,9,7,0
842,7,9,7,0,1
843,9,7,0,0,-1
844,7,0,0,6,-1
845,0,0,6,6,0
846,0,6,6,9,1
847,6,6,9,5,-1
848,6,9,5,7,0
849,9,5,7,4,1
850,5,7,4,4,-1
851,7,4,4,1,0
852,4,4,1,7,0
853,4,1,7,1,0
854,1,7,1,1,-1
855,7,1,1,3,1
856,1,1,3,6,-1
857,1,3,6,8,1
858,3,6,8,8,0
859,6,8,8,5,0
860,8,8,5,9,-1
861,8,5,9,3,1
862,5,9,3,7,0
863,9,3,7,6,-1
864,3,7,6,0,1
865,7,6,0,4,-1
866,6,0,4,0,-1
867,0,4,0,7,-1
868,4,0,7,3,-1
869,0,7,3,5,-1
870,7,3,5,6,-1
871,3,5,6,6,-1
872,5,6,6,7,0
873,6,6,7,7,1
874,6,7,7,7,-1
875,7,7,7,9,1
876,7,7,9,2,1
877,7,9,2,5,-1
878,9,2,5,8,1
879,2,5,8,1,0
880,5,8,1,3,1
881,8,1,3,9,0
882,1,3,9,1,0
883,3,9,1,2,-1
884,9,1,2,1,0
885,1,2,1,1,0
886,2,1,1,5,0
887,1,1,5,3,1
888,1,5,3,1,0
889,5,3,1,5,-1
890,3,1,5,3,1
891,1,5,3,3,-1
892,5,3,3,3,-1
893,3,3,3,8,1
894,3,3,8,4,-1
895,3,8,4,6,-1
896,8,4,6,9,-1
897,4,6,9,2,0
898,6,9,2,5,-1
899,9,2,5,6,-1
900,2,5,6,1,0
901,5,6,1,9,1
902,6,1,9,8,1
903,1,9,8,3,1
904,9,8,3,8,1
905,8,3,8,6,-1
906,3,8,6,1,0
907,8,6,1,5,0
908,6,1,5,4,1
909,1,5,4,0,-1
910,5,4,0,4,1
911,4,0,4,3,1
912,0,4,3,3,1
913,4,3,3,4,-1
914,3,3,4,1,0
915,3,4,1,4,0
916,4,1,4,4,-1
917,1,4,4,4,-1
918,4,4,4,2,-1
919,4,4,2,7,0
920,4,2,7,9,1
921,2,7,9,2,0
922,7,9,2,2,0
923,9,2,2,9,1
924,2,2,9,4,-1
925,2,9,4,0,-1
926,9,4,0,0,-1
927,4,0,0,7,0
928,0,0,7,1,-1
929,0,7,1,7,0
930,7,1,7,7,0
931,1,7,7,5,0
932,7,7,5,0,-1
933,7,5,0,3,1
934,5,0,3,9,1
935,0,3,9,2,0
936,3,9,2,1,-1
937,9,2,1,4,1
938,2,1,4,9,1
939,1,4,9,3,-1
940,4,9,3,2,1
941,9,3,2,6,1
942,3,2,6,7,0
943,2,6,7,6,1
944,6,7,6,1,0
945,7,6,1,8,1
946,6,1,8,6,0
947,1,8,6,1,0
948,8,6,1,1,1
949,6,1,1,2,1
950,1,1,2,8,1
951,1,2,8,1,-1
952,2,8,1,1,0
953,8,1,1,8,1
954,1,1,8,9,1
955,1,8,9,9,1
956,8,9,9,2,1
957,9,9,2,7,-1
958,9,2,7,9,1
959,2,7,9,7,-1
960,7,9,7,8,1
961,9,7,8,7,0
962,7,8,7,7,1
963,8,7,7,2,0
964,7,7,2,4,-1
965,7,2,4,7,0
966,2,4,7,0,-1
967,4,7,0,8,1
968,7,0,8,1,0
969,0,8,1,0,-1
970,8,1,0,0,-1
971,1,0,0,2,1
972,0,0,2,8,1
973,0,2,8,7,0
974,2,8,7,5,-1
975,8,7,5,3,1
976,7,5,3,2,1
977,5,3,2,6,-1
978,3,2,6,5,1
979,2,6,5,3,-1
980,6,5,3,1,-1
981,5,3,1,0,-1
982,3,1,0,4,-1
983,1,0,4,7,0
984,0,4,7,1,0
985,4,7,1,6,-1
986,7,1,6,3,1
987,1,6,3,8,1
988,6,3,8,6,0
989,3,8,6,1,-1
990,8,6,1,2,1
991,6,1,2,0,-1
992,1,2,0,6,0
993,2,0,6,5,0
994,0,6,5,8,1
995,6,5,8,9,-1
996,5,8,9,5,-1
997,8,9,5,3,1
998,9,5,3,6,-1
999,5,3,6,0,-1
1000,3,6,0,7,-1
1001,6,0,7,1,0
1002,0,7,1,3,1
1003,7,1,3,6,-1
1004,1,3,6,0,-1
1005,3,6,0,1,0
1006,6,0,1,3,1
1007,0,1,3,7,0
1008,1,3,7,8,1
1009,3,7,8,4,1
1010,7,8,4,5,-1
1011,8,4,5,7,0
1012,4,5,7,8,-1
1013,5,7,8,6,-1
1014,7,8,6,1,-1
1015,8,6,1,1,-1
1016,6,1,1,5,-1
1017,1,1,5,9,1
1018,1,5,9,0,-1
1019,5,9,0,2,1
1020,9,0,2,7,0
1021,0,2,7,8,1
1022,2,7,8,3,1
1023,7,8,3,5,-1
1024,8,3,5,0,0
1025,3,5,0,7,0
1026,5,0,7,2,1
1027,0,7,2,7,0
1028,7,2,7,8,1
1029,2,7,8,2,-1
1030,7,8,2,7,0
1031,8,2,7,1,0
1032,2,7,1,6,-1
1033,7,1,6,3,1
1034,1,6,3,7,0
1035,6,3,7,1,0
1036,3,7,1,8,1
1037,7,1,8,7,0
1038,1,8,7,5,-1
1039,8,7,5,1,0
1040,7,5,1,6,-1
1041,5,1,6,9,1
1042,1,6,9,1,0
1043,6,9,1,2,0
1044,9,1,2,4,-1
1045,1,2,4,8,0
1046,2,4,8,0,-1
1047,4,8,0,9,1
1048,8,0,9,2,1
1049,0,9,2,9,1
1050,9,2,9,5,1
1051,2,9,5,2,1
1052,9,5,2,7,0
1053,5,2,7,4,-1
1054,2,7,4,9,1
1055,7,4,9,9,0
1056,4,9,9,9,-1
1057,9,9,9,1,0
1058,9,9,1,8,0
1059,9,1,8,6,0
1060,1,8,6,5,1
1061,8,6,5,2,0
1062,6,5,2,5,1
1063,5,2,5,3,1
1064,2,5,3,3,-1
