,s-5,s-4,s-3,s-2,s-1,a,r
685,1,5,36,14,39,0.0,1.0
686,5,36,14,39,0,13.0,0.0
687,36,14,39,0,13,13.0,0.0
688,14,39,0,13,13,19.0,-1.0
689,39,0,13,13,19,5.0,1.0
690,0,13,13,19,5,13.0,0.0
691,13,13,19,5,13,13.0,0.0
692,13,19,5,13,13,5.0,1.0
693,19,5,13,13,5,10.0,1.0
694,5,13,13,5,10,13.0,0.0
695,13,13,5,10,13,4.0,-1.0
696,13,5,10,13,4,20.0,0.0
697,5,10,13,4,20,14.0,1.0
698,10,13,4,20,14,17.0,-1.0
699,13,4,20,14,17,14.0,0.0
700,4,20,14,17,14,17.0,-1.0
701,20,14,17,14,17,10.0,1.0
702,14,17,14,17,10,8.0,-1.0
703,17,14,17,10,8,7.0,-1.0
704,14,17,10,8,7,5.0,1.0
705,17,10,8,7,5,0.0,-1.0
706,10,8,7,5,0,0.0,-1.0
707,8,7,5,0,0,0.0,-1.0
708,7,5,0,0,0,2.0,0.0
709,5,0,0,0,2,1.0,-1.0
710,0,0,0,2,1,2.0,-1.0
711,0,0,2,1,2,3.0,1.0
712,0,2,1,2,3,3.0,1.0
713,2,1,2,3,3,35.0,1.0
714,1,2,3,3,35,30.0,0.0
715,2,3,3,35,30,24.0,-1.0
716,3,3,35,30,24,3.0,1.0
717,3,35,30,24,3,25.0,0.0
718,35,30,24,3,25,30.0,1.0
719,30,24,3,25,30,4.0,-1.0
720,24,3,25,30,4,4.0,1.0
721,3,25,30,4,4,24.0,0.0
722,25,30,4,4,24,5.0,-1.0
723,30,4,4,24,5,12.0,1.0
724,4,4,24,5,12,20.0,0.0
725,4,24,5,12,20,15.0,1.0
726,24,5,12,20,15,1.0,0.0
727,5,12,20,15,1,8.0,-1.0
728,12,20,15,1,8,10.0,1.0
729,20,15,1,8,10,2.0,1.0
730,15,1,8,10,2,4.0,1.0
731,1,8,10,2,4,10.0,-1.0
732,8,10,2,4,10,3.0,1.0
733,10,2,4,10,3,3.0,0.0
734,2,4,10,3,3,8.0,0.0
735,4,10,3,3,8,5.0,1.0
736,10,3,3,8,5,2.0,1.0
737,3,3,8,5,2,5.0,1.0
738,3,8,5,2,5,6.0,1.0
739,8,5,2,5,6,1.0,0.0
740,5,2,5,6,1,24.0,-1.0
741,2,5,6,1,24,38.0,-1.0
742,5,6,1,24,38,17.0,0.0
743,6,1,24,38,17,20.0,-1.0
744,1,24,38,17,20,38.0,1.0
745,24,38,17,20,38,31.0,0.0
746,38,17,20,38,31,8.0,0.0
747,17,20,38,31,8,22.0,-1.0
748,20,38,31,8,22,24.0,-1.0
749,38,31,8,22,24,21.0,1.0
750,31,8,22,24,21,7.0,0.0
751,8,22,24,21,7,18.0,-1.0
752,22,24,21,7,18,14.0,-1.0
753,24,21,7,18,14,1.0,0.0
754,21,7,18,14,1,1.0,0.0
755,7,18,14,1,1,9.0,1.0
756,18,14,1,1,9,2.0,1.0
757,14,1,1,9,2,6.0,0.0
758,1,1,9,2,6,9.0,1.0
759,1,9,2,6,9,35.0,1.0
760,9,2,6,9,35,16.0,1.0
761,2,6,9,35,16,5.0,1.0
762,6,9,35,16,5,21.0,0.0
763,9,35,16,5,21,21.0,1.0
764,35,16,5,21,21,3.0,1.0
765,16,5,21,21,3,6.0,-1.0
766,5,21,21,3,6,18.0,-1.0
767,21,21,3,6,18,3.0,1.0
768,21,3,6,18,3,7.0,-1.0
769,3,6,18,3,7,4.0,1.0
770,6,18,3,7,4,4.0,1.0
771,18,3,7,4,4,36.0,0.0
772,3,7,4,4,36,39.0,-1.0
773,7,4,4,36,39,17.0,1.0
774,4,4,36,39,17,29.0,1.0
775,4,36,39,17,29,8.0,-1.0
776,36,39,17,29,8,14.0,0.0
777,39,17,29,8,14,0.0,-1.0
778,17,29,8,14,0,0.0,-1.0
779,29,8,14,0,0,2.0,-1.0
780,8,14,0,0,2,2.0,1.0
781,14,0,0,2,2,0.0,-1.0
782,0,0,2,2,0,4.0,-1.0
783,0,2,2,0,4,0.0,-1.0
784,2,2,0,4,0,6.0,-1.0
785,2,0,4,0,6,0.0,-1.0
786,0,4,0,6,0,8.0,-1.0
787,4,0,6,0,8,0.0,0.0
788,0,6,0,8,0,2.0,-1.0
789,6,0,8,0,2,19.0,0.0
790,0,8,0,2,19,23.0,1.0
791,8,0,2,19,23,0.0,-1.0
792,0,2,19,23,0,0.0,1.0
793,2,19,23,0,0,21.0,1.0
794,19,23,0,0,21,0.0,-1.0
795,23,0,0,21,0,24.0,-1.0
796,0,0,21,0,24,33.0,1.0
797,0,21,0,24,33,24.0,1.0
798,21,0,24,33,24,24.0,-1.0
799,0,24,33,24,24,0.0,-1.0
800,24,33,24,24,0,21.0,0.0
801,33,24,24,0,21,20.0,0.0
802,24,24,0,21,20,8.0,-1.0
803,24,0,21,20,8,12.0,-1.0
804,0,21,20,8,12,29.0,1.0
805,21,20,8,12,29,32.0,0.0
806,20,8,12,29,32,21.0,1.0
807,8,12,29,32,21,36.0,0.0
808,12,29,32,21,36,23.0,1.0
809,29,32,21,36,23,27.0,0.0
810,32,21,36,23,27,35.0,1.0
811,21,36,23,27,35,38.0,-1.0
812,36,23,27,35,38,33.0,1.0
813,23,27,35,38,33,9.0,1.0
814,27,35,38,33,9,36.0,-1.0
815,35,38,33,9,36,38.0,0.0
816,38,33,9,36,38,21.0,0.0
817,33,9,36,38,21,30.0,-1.0
818,9,36,38,21,30,0.0,-1.0
819,36,38,21,30,0,15.0,1.0
820,38,21,30,0,15,21.0,0.0
821,21,30,0,15,21,12.0,-1.0
822,30,0,15,21,12,6.0,-1.0
823,0,15,21,12,6,26.0,0.0
824,15,21,12,6,26,33.0,1.0
825,21,12,6,26,33,0.0,0.0
826,12,6,26,33,0,0.0,1.0
827,6,26,33,0,0,0.0,0.0
828,26,33,0,0,0,2.0,-1.0
829,33,0,0,0,2,11.0,1.0
830,0,0,0,2,11,0.0,-1.0
831,0,0,2,11,0,0.0,-1.0
832,0,2,11,0,0,0.0,-1.0
833,2,11,0,0,0,0.0,-1.0
834,11,0,0,0,0,0.0,-1.0
835,0,0,0,0,0,21.0,1.0
836,0,0,0,0,21,0.0,-1.0
837,0,0,0,21,0,0.0,-1.0
838,0,0,21,0,0,0.0,-1.0
839,0,21,0,0,0,0.0,-1.0
840,21,0,0,0,0,0.0,-1.0
841,0,0,0,0,0,0.0,0.0
842,0,0,0,0,0,0.0,-1.0
843,0,0,0,0,0,0.0,-1.0
844,0,0,0,0,0,0.0,-1.0
845,0,0,0,0,0,39.0,-1.0
846,0,0,0,0,39,0.0,-1.0
847,0,0,0,39,0,0.0,0.0
848,0,0,39,0,0,19.0,0.0
849,0,39,0,0,19,20.0,-1.0
850,39,0,0,19,20,20.0,0.0
851,0,0,19,20,20,26.0,-1.0
852,0,19,20,20,26,37.0,0.0
853,19,20,20,26,37,32.0,-1.0
854,20,20,26,37,32,35.0,0.0
855,20,26,37,32,35,0.0,-1.0
856,26,37,32,35,0,28.0,1.0
857,37,32,35,0,28,32.0,1.0
858,32,35,0,28,32,13.0,1.0
859,35,0,28,32,13,15.0,-1.0
860,0,28,32,13,15,37.0,-1.0
861,28,32,13,15,37,30.0,0.0
862,32,13,15,37,30,23.0,1.0
863,13,15,37,30,23,0.0,-1.0
864,15,37,30,23,0,26.0,-1.0
865,37,30,23,0,26,27.0,0.0
866,30,23,0,26,27,9.0,1.0
867,23,0,26,27,9,23.0,1.0
868,0,26,27,9,23,0.0,-1.0
869,26,27,9,23,0,8.0,-1.0
870,27,9,23,0,8,28.0,1.0
871,9,23,0,8,28,18.0,-1.0
872,23,0,8,28,18,9.0,0.0
873,0,8,28,18,9,0.0,0.0
874,8,28,18,9,0,25.0,-1.0
875,28,18,9,0,25,13.0,0.0
876,18,9,0,25,13,10.0,-1.0
877,9,0,25,13,10,28.0,1.0
878,0,25,13,10,28,37.0,0.0
879,25,13,10,28,37,23.0,1.0
880,13,10,28,37,23,19.0,0.0
881,10,28,37,23,19,30.0,0.0
882,28,37,23,19,30,18.0,-1.0
883,37,23,19,30,18,1.0,0.0
884,23,19,30,18,1,9.0,-1.0
885,19,30,18,1,9,7.0,1.0
886,30,18,1,9,7,2.0,-1.0
887,18,1,9,7,2,0.0,1.0
888,1,9,7,2,0,6.0,1.0
889,9,7,2,0,6,1.0,0.0
890,7,2,0,6,1,2.0,0.0
891,2,0,6,1,2,20.0,0.0
892,0,6,1,2,20,10.0,1.0
893,6,1,2,20,10,0.0,-1.0
894,1,2,20,10,0,26.0,-1.0
895,2,20,10,0,26,13.0,0.0
896,20,10,0,26,13,9.0,-1.0
897,10,0,26,13,9,35.0,-1.0
898,0,26,13,9,35,16.0,1.0
899,26,13,9,35,16,8.0,0.0
900,13,9,35,16,8,19.0,0.0
901,9,35,16,8,19,13.0,-1.0
902,35,16,8,19,13,36.0,-1.0
903,16,8,19,13,36,9.0,1.0
904,8,19,13,36,9,3.0,1.0
905,19,13,36,9,3,17.0,0.0
906,13,36,9,3,17,6.0,-1.0
907,36,9,3,17,6,5.0,1.0
908,9,3,17,6,5,8.0,1.0
909,3,17,6,5,8,6.0,-1.0
910,17,6,5,8,6,0.0,-1.0
911,6,5,8,6,0,3.0,1.0
912,5,8,6,0,3,4.0,1.0
913,8,6,0,3,4,2.0,0.0
914,6,0,3,4,2,0.0,-1.0
915,0,3,4,2,0,4.0,-1.0
916,3,4,2,0,4,1.0,-1.0
917,4,2,0,4,1,1.0,0.0
918,2,0,4,1,1,2.0,0.0
919,0,4,1,1,2,2.0,0.0
920,4,1,1,2,2,31.0,1.0
921,1,1,2,2,31,29.0,0.0
922,1,2,2,31,29,23.0,1.0
923,2,2,31,29,23,21.0,1.0
924,2,31,29,23,21,24.0,-1.0
925,31,29,23,21,24,3.0,-1.0
926,29,23,21,24,3,0.0,-1.0
927,23,21,24,3,0,7.0,1.0
928,21,24,3,0,7,1.0,1.0
929,24,3,0,7,1,7.0,0.0
930,3,0,7,1,7,5.0,0.0
931,0,7,1,7,5,2.0,0.0
932,7,1,7,5,2,33.0,-1.0
933,1,7,5,2,33,14.0,1.0
934,7,5,2,33,14,25.0,1.0
935,5,2,33,14,25,23.0,0.0
936,2,33,14,25,23,13.0,0.0
937,33,14,25,23,13,0.0,-1.0
938,14,25,23,13,0,10.0,-1.0
939,25,23,13,0,10,0.0,-1.0
940,23,13,0,10,0,3.0,1.0
941,13,0,10,0,3,31.0,0.0
942,0,10,0,3,31,31.0,1.0
943,10,0,3,31,31,19.0,-1.0
944,0,3,31,31,19,21.0,0.0
945,3,31,31,19,21,25.0,-1.0
946,31,31,19,21,25,0.0,0.0
947,31,19,21,25,0,38.0,0.0
948,19,21,25,0,38,15.0,0.0
949,21,25,0,38,15,5.0,1.0
950,25,0,38,15,5,3.0,1.0
951,0,38,15,5,3,16.0,1.0
952,38,15,5,3,16,11.0,-1.0
953,15,5,3,16,11,1.0,0.0
954,5,3,16,11,1,8.0,1.0
955,3,16,11,1,8,10.0,-1.0
956,16,11,1,8,10,2.0,-1.0
957,11,1,8,10,2,0.0,-1.0
958,1,8,10,2,0,8.0,1.0
959,8,10,2,0,8,1.0,-1.0
960,10,2,0,8,1,3.0,1.0
961,2,0,8,1,3,2.0,0.0
962,0,8,1,3,2,5.0,1.0
963,8,1,3,2,5,1.0,0.0
964,1,3,2,5,1,1.0,0.0
965,3,2,5,1,1,3.0,-1.0
966,2,5,1,1,3,5.0,-1.0
967,5,1,1,3,5,1.0,0.0
968,1,1,3,5,1,2.0,1.0
969,1,3,5,1,2,4.0,-1.0
970,3,5,1,2,4,1.0,0.0
971,5,1,2,4,1,1.0,0.0
972,1,2,4,1,1,3.0,1.0
973,2,4,1,1,3,1.0,-1.0
974,4,1,1,3,1,1.0,0.0
975,1,1,3,1,1,2.0,1.0
976,1,3,1,1,2,1.0,1.0
977,3,1,1,2,1,1.0,0.0
978,1,1,2,1,1,2.0,0.0
979,1,2,1,1,2,1.0,0.0
980,2,1,1,2,1,1.0,0.0
981,1,1,2,1,1,2.0,1.0
982,1,2,1,1,2,1.0,0.0
983,2,1,1,2,1,1.0,0.0
984,1,1,2,1,1,19.0,0.0
985,1,2,1,1,19,8.0,1.0
986,2,1,1,19,8,17.0,1.0
987,1,1,19,8,17,15.0,-1.0
988,1,19,8,17,15,30.0,0.0
989,19,8,17,15,30,5.0,1.0
990,8,17,15,30,5,5.0,1.0
991,17,15,30,5,5,15.0,1.0
992,15,30,5,5,15,1.0,1.0
993,30,5,5,15,1,5.0,0.0
994,5,5,15,1,5,10.0,-1.0
995,5,15,1,5,10,2.0,0.0
996,15,1,5,10,2,2.0,-1.0
997,1,5,10,2,2,8.0,1.0
998,5,10,2,2,8,9.0,0.0
999,10,2,2,8,9,1.0,-1.0
1000,2,2,8,9,1,4.0,-1.0
1001,2,8,9,1,4,7.0,-1.0
1002,8,9,1,4,7,33.0,-1.0
1003,9,1,4,7,33,3.0,1.0
1004,1,4,7,33,3,17.0,1.0
1005,4,7,33,3,17,25.0,0.0
1006,7,33,3,17,25,3.0,1.0
1007,33,3,17,25,3,2.0,0.0
1008,3,17,25,3,2,19.0,-1.0
1009,17,25,3,2,19,2.0,1.0
1010,25,3,2,19,2,7.0,0.0
1011,3,2,19,2,7,14.0,0.0
1012,2,19,2,7,14,4.0,0.0
1013,19,2,7,14,4,2.0,0.0
1014,2,7,14,4,2,10.0,-1.0
1015,7,14,4,2,10,2.0,0.0
1016,14,4,2,10,2,2.0,-1.0
1017,4,2,10,2,2,6.0,-1.0
1018,2,10,2,2,6,3.0,1.0
1019,10,2,2,6,3,1.0,0.0
1020,2,2,6,3,1,4.0,1.0
1021,2,6,3,1,4,3.0,1.0
1022,6,3,1,4,3,1.0,0.0
1023,3,1,4,3,1,17.0,1.0
1024,1,4,3,1,17,5.0,-1.0
1025,4,3,1,17,5,12.0,1.0
1026,3,1,17,5,12,12.0,-1.0
1027,1,17,5,12,12,5.0,1.0
1028,17,5,12,12,5,0.0,-1.0
1029,5,12,12,5,0,32.0,0.0
1030,12,12,5,0,32,3.0,1.0
1031,12,5,0,32,3,31.0,0.0
1032,5,0,32,3,31,25.0,-1.0
1033,0,32,3,31,25,5.0,-1.0
1034,32,3,31,25,5,2.0,0.0
1035,3,31,25,5,2,21.0,1.0
1036,31,25,5,2,21,13.0,-1.0
1037,25,5,2,21,13,5.0,1.0
1038,5,2,21,13,5,7.0,-1.0
1039,2,21,13,5,7,12.0,-1.0
1040,21,13,5,7,12,1.0,0.0
1041,13,5,7,12,1,37.0,0.0
1042,5,7,12,1,37,12.0,-1.0
1043,7,12,1,37,12,25.0,-1.0
1044,12,1,37,12,25,23.0,1.0
1045,1,37,12,25,23,12.0,1.0
1046,37,12,25,23,12,31.0,-1.0
1047,12,25,23,12,31,16.0,1.0
1048,25,23,12,31,16,0.0,-1.0
1049,23,12,31,16,0,9.0,1.0
1050,12,31,16,0,9,10.0,1.0
1051,31,16,0,9,10,4.0,-1.0
1052,16,0,9,10,4,0.0,-1.0
1053,0,9,10,4,0,5.0,-1.0
1054,9,10,4,0,5,33.0,-1.0
1055,10,4,0,5,33,6.0,-1.0
1056,4,0,5,33,6,23.0,-1.0
1057,0,5,33,6,23,28.0,1.0
1058,5,33,6,23,28,6.0,-1.0
1059,33,6,23,28,6,5.0,-1.0
1060,6,23,28,6,5,20.0,-1.0
1061,23,28,6,5,20,1.0,-1.0
1062,28,6,5,20,1,4.0,1.0
1063,6,5,20,1,4,13.0,0.0
1064,5,20,1,4,13,2.0,1.0
1065,20,1,4,13,2,32.0,-1.0
1066,1,4,13,2,32,14.0,1.0
1067,4,13,2,32,14,14.0,-1.0
1068,13,2,32,14,14,17.0,1.0
1069,2,32,14,14,17,14.0,-1.0
1070,32,14,14,17,14,5.0,1.0
1071,14,14,17,14,5,5.0,1.0
1072,14,17,14,5,5,5.0,1.0
1073,17,14,5,5,5,0.0,-1.0
1074,14,5,5,5,0,0.0,-1.0
1075,5,5,5,0,0,2.0,-1.0
1076,5,5,0,0,2,1.0,1.0
1077,5,0,0,2,1,1.0,0.0
1078,0,0,2,1,1,2.0,0.0
1079,0,2,1,1,2,2.0,0.0
1080,2,1,1,2,2,1.0,0.0
1081,1,1,2,2,1,1.0,0.0
1082,1,2,2,1,1,2.0,0.0
1083,2,2,1,1,2,1.0,0.0
1084,2,1,1,2,1,1.0,0.0
1085,1,1,2,1,1,29.0,1.0
1086,1,2,1,1,29,14.0,0.0
1087,2,1,1,29,14,28.0,1.0
1088,1,1,29,14,28,23.0,1.0
1089,1,29,14,28,23,12.0,-1.0
1090,29,14,28,23,12,4.0,1.0
1091,14,28,23,12,4,26.0,-1.0
1092,28,23,12,4,26,0.0,1.0
1093,23,12,4,26,0,9.0,-1.0
1094,12,4,26,0,9,15.0,0.0
1095,4,26,0,9,15,9.0,1.0
1096,26,0,9,15,9,0.0,-1.0
1097,0,9,15,9,0,11.0,0.0
1098,9,15,9,0,11,30.0,-1.0
1099,15,9,0,11,30,28.0,1.0
1100,9,0,11,30,28,32.0,0.0
1101,0,11,30,28,32,24.0,-1.0
1102,11,30,28,32,24,9.0,1.0
1103,30,28,32,24,9,8.0,0.0
1104,28,32,24,9,8,6.0,-1.0
1105,32,24,9,8,6,0.0,0.0
1106,24,9,8,6,0,0.0,1.0
1107,9,8,6,0,0,1.0,-1.0
1108,8,6,0,0,1,1.0,0.0
1109,6,0,0,1,1,9.0,1.0
1110,0,0,1,1,9,2.0,-1.0
1111,0,1,1,9,2,39.0,-1.0
1112,1,1,9,2,39,4.0,1.0
1113,1,9,2,39,4,33.0,0.0
1114,9,2,39,4,33,28.0,1.0
1115,2,39,4,33,28,5.0,-1.0
1116,39,4,33,28,5,0.0,-1.0
1117,4,33,28,5,0,22.0,1.0
1118,33,28,5,0,22,17.0,1.0
1119,28,5,0,22,17,11.0,1.0
1120,5,0,22,17,11,13.0,1.0
1121,0,22,17,11,13,16.0,1.0
1122,22,17,11,13,16,0.0,-1.0
1123,17,11,13,16,0,0.0,-1.0
1124,11,13,16,0,0,27.0,0.0
1125,13,16,0,0,27,4.0,1.0
1126,16,0,0,27,4,29.0,1.0
1127,0,0,27,4,29,24.0,0.0
1128,0,27,4,29,24,5.0,1.0
1129,27,4,29,24,5,4.0,-1.0
1130,4,29,24,5,4,19.0,-1.0
1131,29,24,5,4,19,15.0,-1.0
1132,24,5,4,19,15,2.0,1.0
1133,5,4,19,15,2,10.0,1.0
1134,4,19,15,2,10,0.0,-1.0
1135,19,15,2,10,0,1.0,0.0
1136,15,2,10,0,1,0.0,-1.0
1137,2,10,0,1,0,3.0,1.0
1138,10,0,1,0,3,4.0,1.0
1139,0,1,0,3,4,1.0,0.0
1140,1,0,3,4,1,2.0,-1.0
1141,0,3,4,1,2,4.0,1.0
1142,3,4,1,2,4,1.0,0.0
1143,4,1,2,4,1,16.0,-1.0
1144,1,2,4,1,16,5.0,1.0
1145,2,4,1,16,5,10.0,1.0
1146,4,1,16,5,10,11.0,1.0
1147,1,16,5,10,11,5.0,1.0
1148,16,5,10,11,5,0.0,-1.0
1149,5,10,11,5,0,6.0,-1.0
1150,10,11,5,0,6,0.0,-1.0
1151,11,5,0,6,0,0.0,0.0
1152,5,0,6,0,0,0.0,-1.0
1153,0,6,0,0,0,3.0,-1.0
1154,6,0,0,0,3,0.0,-1.0
1155,0,0,0,3,0,3.0,1.0
1156,0,0,3,0,3,0.0,-1.0
1157,0,3,0,3,0,0.0,-1.0
1158,3,0,3,0,0,0.0,-1.0
1159,0,3,0,0,0,0.0,-1.0
1160,3,0,0,0,0,0.0,-1.0
1161,0,0,0,0,0,0.0,-1.0
1162,0,0,0,0,0,0.0,0.0
1163,0,0,0,0,0,0.0,-1.0
1164,0,0,0,0,0,0.0,-1.0
1165,0,0,0,0,0,21.0,1.0
1166,0,0,0,0,21,0.0,-1.0
1167,0,0,0,21,0,0.0,-1.0
1168,0,0,21,0,0,0.0,-1.0
1169,0,21,0,0,0,4.0,1.0
1170,21,0,0,0,4,13.0,-1.0
1171,0,0,0,4,13,39.0,-1.0
1172,0,0,4,13,39,39.0,1.0
1173,0,4,13,39,39,3.0,1.0
1174,4,13,39,39,3,0.0,-1.0
1175,13,39,39,3,0,0.0,-1.0
1176,39,39,3,0,0,24.0,-1.0
1177,39,3,0,0,24,8.0,0.0
1178,3,0,0,24,8,7.0,0.0
1179,0,0,24,8,7,0.0,0.0
1180,0,24,8,7,0,0.0,-1.0
1181,24,8,7,0,0,0.0,-1.0
1182,8,7,0,0,0,22.0,1.0
1183,7,0,0,0,22,2.0,0.0
1184,0,0,0,22,2,15.0,0.0
1185,0,0,22,2,15,1.0,0.0
1186,0,22,2,15,1,32.0,-1.0
1187,22,2,15,1,32,2.0,1.0
1188,2,15,1,32,2,0.0,-1.0
1189,15,1,32,2,0,1.0,0.0
1190,1,32,2,0,1,1.0,0.0
1191,32,2,0,1,1,12.0,0.0
1192,2,0,1,1,12,0.0,-1.0
1193,0,1,1,12,0,2.0,1.0
1194,1,1,12,0,2,11.0,1.0
1195,1,12,0,2,11,0.0,-1.0
1196,12,0,2,11,0,11.0,-1.0
1197,0,2,11,0,11,0.0,-1.0
1198,2,11,0,11,0,0.0,-1.0
1199,11,0,11,0,0,19.0,0.0
1200,0,11,0,0,19,0.0,-1.0
1201,11,0,0,19,0,1.0,0.0
1202,0,0,19,0,1,2.0,1.0
1203,0,19,0,1,2,4.0,1.0
1204,19,0,1,2,4,1.0,0.0
1205,0,1,2,4,1,0.0,-1.0
1206,1,2,4,1,0,19.0,0.0
1207,2,4,1,0,19,1.0,0.0
1208,4,1,0,19,1,22.0,1.0
1209,1,0,19,1,22,8.0,1.0
1210,0,19,1,22,8,2.0,0.0
1211,19,1,22,8,2,28.0,1.0
1212,1,22,8,2,28,38.0,0.0
1213,22,8,2,28,38,39.0,-1.0
1214,8,2,28,38,39,1.0,1.0
1215,2,28,38,39,1,8.0,0.0
1216,28,38,39,1,8,5.0,1.0
1217,38,39,1,8,5,13.0,0.0
1218,39,1,8,5,13,2.0,1.0
1219,1,8,5,13,2,31.0,1.0
1220,8,5,13,2,31,3.0,1.0
1221,5,13,2,31,3,28.0,1.0
1222,13,2,31,3,28,6.0,-1.0
1223,2,31,3,28,6,1.0,0.0
1224,31,3,28,6,1,0.0,1.0
1225,3,28,6,1,0,12.0,0.0
1226,28,6,1,0,12,2.0,-1.0
1227,6,1,0,12,2,23.0,-1.0
1228,1,0,12,2,23,2.0,0.0
1229,0,12,2,23,2,0.0,0.0
1230,12,2,23,2,0,26.0,0.0
1231,2,23,2,0,26,3.0,1.0
1232,23,2,0,26,3,1.0,-1.0
1233,2,0,26,3,1,5.0,1.0
1234,0,26,3,1,5,5.0,-1.0
1235,26,3,1,5,5,3.0,1.0
1236,3,1,5,5,3,8.0,1.0
1237,1,5,5,3,8,1.0,0.0
1238,5,5,3,8,1,1.0,0.0
1239,5,3,8,1,1,1.0,-1.0
1240,3,8,1,1,1,8.0,0.0
1241,8,1,1,1,8,1.0,0.0
1242,1,1,1,8,1,12.0,-1.0
1243,1,1,8,1,12,1.0,0.0
1244,1,8,1,12,1,1.0,0.0
1245,8,1,12,1,1,1.0,0.0
1246,1,12,1,1,1,37.0,0.0
1247,12,1,1,1,37,4.0,1.0
1248,1,1,1,37,4,6.0,-1.0
1249,1,1,37,4,6,1.0,1.0
1250,1,37,4,6,1,4.0,1.0
1251,37,4,6,1,4,1.0,0.0
1252,4,6,1,4,1,1.0,0.0
1253,6,1,4,1,1,1.0,0.0
1254,1,4,1,1,1,2.0,-1.0
1255,4,1,1,1,2,32.0,0.0
1256,1,1,1,2,32,1.0,0.0
1257,1,1,2,32,1,23.0,1.0
1258,1,2,32,1,23,1.0,1.0
1259,2,32,1,23,1,1.0,0.0
1260,32,1,23,1,1,0.0,-1.0
1261,1,23,1,1,0,4.0,1.0
1262,23,1,1,0,4,1.0,1.0
1263,1,1,0,4,1,30.0,-1.0
1264,1,0,4,1,30,1.0,0.0
1265,0,4,1,30,1,5.0,1.0
1266,4,1,30,1,5,0.0,-1.0
1267,1,30,1,5,0,4.0,-1.0
1268,30,1,5,0,4,0.0,-1.0
1269,1,5,0,4,0,2.0,-1.0
1270,5,0,4,0,2,1.0,0.0
1271,0,4,0,2,1,2.0,1.0
1272,4,0,2,1,2,33.0,0.0
1273,0,2,1,2,33,2.0,0.0
1274,2,1,2,33,2,5.0,-1.0
1275,1,2,33,2,5,1.0,0.0
1276,2,33,2,5,1,35.0,1.0
1277,33,2,5,1,35,1.0,0.0
1278,2,5,1,35,1,4.0,-1.0
1279,5,1,35,1,4,1.0,0.0
1280,1,35,1,4,1,31.0,0.0
1281,35,1,4,1,31,2.0,1.0
1282,1,4,1,31,2,4.0,-1.0
1283,4,1,31,2,4,14.0,0.0
1284,1,31,2,4,14,4.0,0.0
1285,31,2,4,14,4,0.0,-1.0
1286,2,4,14,4,0,1.0,0.0
1287,4,14,4,0,1,2.0,1.0
1288,14,4,0,1,2,18.0,-1.0
1289,4,0,1,2,18,1.0,0.0
1290,0,1,2,18,1,2.0,1.0
1291,1,2,18,1,2,1.0,0.0
1292,2,18,1,2,1,12.0,0.0
1293,18,1,2,1,12,1.0,1.0
1294,1,2,1,12,1,1.0,0.0
1295,2,1,12,1,1,1.0,-1.0
1296,1,12,1,1,1,7.0,-1.0
1297,12,1,1,1,7,6.0,-1.0
1298,1,1,1,7,6,1.0,0.0
1299,1,1,7,6,1,28.0,1.0
1300,1,7,6,1,28,1.0,1.0
1301,7,6,1,28,1,0.0,-1.0
1302,6,1,28,1,0,2.0,-1.0
1303,1,28,1,0,2,8.0,1.0
1304,28,1,0,2,8,1.0,0.0
1305,1,0,2,8,1,1.0,0.0
1306,0,2,8,1,1,1.0,0.0
1307,2,8,1,1,1,20.0,-1.0
1308,8,1,1,1,20,1.0,0.0
1309,1,1,1,20,1,3.0,1.0
1310,1,1,20,1,3,1.0,-1.0
1311,1,20,1,3,1,16.0,1.0
1312,20,1,3,1,16,21.0,1.0
1313,1,3,1,16,21,0.0,0.0
1314,3,1,16,21,0,1.0,0.0
1315,1,16,21,0,1,2.0,0.0
1316,16,21,0,1,2,9.0,-1.0
1317,21,0,1,2,9,1.0,-1.0
1318,0,1,2,9,1,2.0,0.0
1319,1,2,9,1,2,1.0,1.0
1320,2,9,1,2,1,3.0,-1.0
1321,9,1,2,1,3,1.0,0.0
1322,1,2,1,3,1,2.0,-1.0
1323,2,1,3,1,2,1.0,0.0
1324,1,3,1,2,1,2.0,0.0
1325,3,1,2,1,2,1.0,1.0
1326,1,2,1,2,1,2.0,1.0
1327,2,1,2,1,2,24.0,0.0
1328,1,2,1,2,24,31.0,0.0
1329,2,1,2,24,31,0.0,1.0
1330,1,2,24,31,0,39.0,-1.0
1331,2,24,31,0,39,0.0,0.0
1332,24,31,0,39,0,3.0,0.0
1333,31,0,39,0,3,3.0,1.0
1334,0,39,0,3,3,3.0,0.0
1335,39,0,3,3,3,3.0,0.0
1336,0,3,3,3,3,1.0,0.0
1337,3,3,3,3,1,1.0,0.0
1338,3,3,3,1,1,1.0,-1.0
1339,3,3,1,1,1,2.0,0.0
1340,3,1,1,1,2,1.0,0.0
1341,1,1,1,2,1,14.0,0.0
1342,1,1,2,1,14,0.0,-1.0
1343,1,2,1,14,0,27.0,0.0
1344,2,1,14,0,27,0.0,-1.0
1345,1,14,0,27,0,1.0,0.0
1346,14,0,27,0,1,1.0,0.0
1347,0,27,0,1,1,7.0,0.0
1348,27,0,1,1,7,2.0,1.0
1349,0,1,1,7,2,1.0,-1.0
1350,1,1,7,2,1,1.0,0.0
1351,1,7,2,1,1,17.0,1.0
1352,7,2,1,1,17,0.0,1.0
