,s-2,s-1,a,r,none
721,5,3,3,-1,
722,3,3,0,0,
723,3,0,4,-1,
724,0,4,2,1,
725,4,2,2,1,
726,2,2,4,-1,
727,2,4,5,-1,
728,4,5,3,1,
729,5,3,1,-1,
730,3,1,5,-1,
731,1,5,1,0,
732,5,1,3,1,
733,1,3,1,0,
734,3,1,1,0,
735,1,1,2,1,
736,1,2,3,1,
737,2,3,2,0,
738,3,2,1,0,
739,2,1,0,-1,
740,1,0,0,-1,
741,0,0,3,1,
742,0,3,0,-1,
743,3,0,2,1,
744,0,2,2,0,
745,2,2,1,0,
746,2,1,3,-1,
747,1,3,2,1,
748,3,2,2,1,
749,2,2,2,1,
750,2,2,2,1,
751,2,2,1,0,
752,2,1,0,-1,
753,1,0,2,1,
754,0,2,3,-1,
755,2,3,2,1,
756,3,2,2,1,
757,2,2,3,1,
758,2,3,4,-1,
759,3,4,3,0,
760,4,3,2,1,
761,3,2,3,0,
762,2,3,2,0,
763,3,2,3,1,
764,2,3,1,0,
765,3,1,3,1,
766,1,3,2,1,
767,3,2,4,-1,
768,2,4,2,1,
769,4,2,2,0,
770,2,2,4,-1,
771,2,4,2,1,
772,4,2,3,1,
773,2,3,0,-1,
774,3,0,3,1,
775,0,3,5,-1,
776,3,5,0,-1,
777,5,0,2,-1,
778,0,2,4,-1,
779,2,4,5,0,
780,4,5,2,1,
781,5,2,3,-1,
782,2,3,2,1,
783,3,2,3,0,
784,2,3,1,0,
785,3,1,2,1,
786,1,2,4,1,
787,2,4,0,-1,
788,4,0,3,1,
789,0,3,1,0,
790,3,1,2,1,
791,1,2,2,1,
792,2,2,3,-1,
793,2,3,1,0,
794,3,1,1,1,
795,1,1,1,0,
796,1,1,2,1,
797,1,2,2,-1,
798,2,2,2,1,
799,2,2,2,-1,
800,2,2,5,-1,
801,2,5,2,1,
802,5,2,0,-1,
803,2,0,4,-1,
804,0,4,5,-1,
805,4,5,3,0,
806,5,3,4,-1,
807,3,4,3,1,
808,4,3,2,1,
809,3,2,3,-1,
810,2,3,3,0,
811,3,3,5,-1,
812,3,5,1,0,
813,5,1,0,-1,
814,1,0,2,1,
815,0,2,2,1,
816,2,2,4,1,
817,2,4,2,1,
818,4,2,2,1,
819,2,2,1,0,
820,2,1,2,0,
821,1,2,1,1,
822,2,1,2,0,
823,1,2,2,1,
824,2,2,3,-1,
825,2,3,0,-1,
826,3,0,4,-1,
827,0,4,1,0,
828,4,1,2,0,
829,1,2,2,0,
830,2,2,3,-1,
831,2,3,1,-1,
832,3,1,0,-1,
833,1,0,1,0,
834,0,1,2,1,
835,1,2,3,1,
836,2,3,2,1,
837,3,2,0,0,
838,2,0,1,0,
839,0,1,2,1,
840,1,2,2,1,
841,2,2,2,1,
842,2,2,4,-1,
843,2,4,2,0,
844,4,2,5,-1,
845,2,5,2,1,
846,5,2,1,0,
847,2,1,3,1,
848,1,3,5,-1,
849,3,5,2,0,
850,5,2,3,1,
