,s-3,s-2,s-1,a,r
583,15,3,0,0,-1
584,3,0,0,19,-1
585,0,0,19,0,-1
586,0,19,0,0,0
587,19,0,0,17,-1
588,0,0,17,19,0
589,0,17,19,0,-1
590,17,19,0,0,1
591,19,0,0,19,-1
592,0,0,19,19,0
593,0,19,19,0,-1
594,19,19,0,0,-1
595,19,0,0,15,1
596,0,0,15,19,-1
597,0,15,19,0,-1
598,15,19,0,0,0
599,19,0,0,0,-1
600,0,0,0,2,1
601,0,0,2,0,-1
602,0,2,0,0,-1
603,2,0,0,2,1
604,0,0,2,2,1
605,0,2,2,0,-1
606,2,2,0,0,-1
607,2,0,0,16,1
608,0,0,16,12,-1
609,0,16,12,0,0
610,16,12,0,0,-1
611,12,0,0,5,-1
612,0,0,5,14,1
613,0,5,14,5,-1
614,5,14,5,0,-1
615,14,5,0,0,-1
616,5,0,0,9,1
617,0,0,9,6,-1
618,0,9,6,1,0
619,9,6,1,0,-1
620,6,1,0,3,0
621,1,0,3,2,1
622,0,3,2,1,1
623,3,2,1,0,1
624,2,1,0,2,1
625,1,0,2,2,1
626,0,2,2,2,-1
627,2,2,2,0,-1
628,2,2,0,2,1
629,2,0,2,1,0
630,0,2,1,1,-1
631,2,1,1,0,-1
632,1,1,0,2,0
633,1,0,2,11,-1
634,0,2,11,9,-1
635,2,11,9,0,-1
636,11,9,0,16,-1
637,9,0,16,5,-1
638,0,16,5,0,0
639,16,5,0,0,-1
640,5,0,0,5,-1
641,0,0,5,16,-1
642,0,5,16,0,-1
643,5,16,0,15,1
644,16,0,15,6,-1
645,0,15,6,0,-1
646,15,6,0,19,0
647,6,0,19,12,-1
648,0,19,12,6,-1
649,19,12,6,0,-1
650,12,6,0,0,-1
651,6,0,0,18,0
652,0,0,18,14,1
653,0,18,14,4,-1
654,18,14,4,0,-1
655,14,4,0,0,1
656,4,0,0,6,0
657,0,0,6,4,0
658,0,6,4,1,-1
659,6,4,1,11,-1
660,4,1,11,8,1
661,1,11,8,13,-1
662,11,8,13,14,-1
663,8,13,14,0,-1
664,13,14,0,0,-1
665,14,0,0,0,1
666,0,0,0,2,1
667,0,0,2,2,0
668,0,2,2,1,0
669,2,2,1,15,0
670,2,1,15,8,1
671,1,15,8,8,1
672,15,8,8,0,-1
673,8,8,0,16,-1
674,8,0,16,10,-1
675,0,16,10,5,-1
676,16,10,5,19,0
