,s-2,s-1,a,r,none
580,1,2,1,0,
581,2,1,2,1,
582,1,2,1,0,
583,2,1,2,1,
584,1,2,1,1,
585,2,1,2,1,
586,1,2,2,0,
587,2,2,2,1,
588,2,2,2,1,
589,2,2,2,0,
590,2,2,2,-1,
591,2,2,2,-1,
592,2,2,2,1,
593,2,2,2,0,
594,2,2,3,-1,
595,2,3,1,-1,
596,3,1,2,1,
597,1,2,1,1,
598,2,1,2,0,
599,1,2,2,1,
600,2,2,2,-1,
601,2,2,2,-1,
602,2,2,2,0,
603,2,2,2,0,
604,2,2,2,0,
605,2,2,2,0,
606,2,2,3,-1,
607,2,3,2,1,
608,3,2,2,1,
609,2,2,2,0,
610,2,2,5,-1,
611,2,5,1,1,
612,5,1,2,0,
613,1,2,1,0,
614,2,1,1,0,
615,1,1,2,1,
616,1,2,5,-1,
617,2,5,5,-1,
618,5,5,2,1,
619,5,2,2,1,
620,2,2,2,1,
621,2,2,2,-1,
622,2,2,3,-1,
623,2,3,1,0,
624,3,1,2,1,
625,1,2,1,0,
626,2,1,2,1,
627,1,2,1,1,
628,2,1,4,-1,
629,1,4,0,0,
630,4,0,2,1,
631,0,2,2,-1,
632,2,2,1,0,
633,2,1,2,-1,
634,1,2,1,-1,
635,2,1,0,-1,
636,1,0,2,1,
637,0,2,2,0,
638,2,2,1,0,
639,2,1,2,1,
640,1,2,0,1,
641,2,0,2,1,
642,0,2,2,1,
643,2,2,2,1,
644,2,2,2,1,
645,2,2,2,1,
646,2,2,2,0,
647,2,2,2,0,
648,2,2,2,1,
649,2,2,2,0,
650,2,2,2,0,
651,2,2,2,0,
652,2,2,1,-1,
653,2,1,2,1,
654,1,2,1,0,
655,2,1,2,1,
656,1,2,5,0,
657,2,5,0,-1,
658,5,0,3,1,
659,0,3,1,0,
660,3,1,2,1,
661,1,2,0,-1,
662,2,0,0,0,
663,0,0,3,1,
664,0,3,1,-1,
665,3,1,2,1,
666,1,2,1,0,
667,2,1,2,1,
668,1,2,2,-1,
669,2,2,2,0,
670,2,2,2,-1,
671,2,2,2,1,
672,2,2,2,0,
673,2,2,2,0,
674,2,2,2,0,
675,2,2,1,0,
676,2,1,2,1,
677,1,2,1,0,
